IDint ID2M             teff     logg   [Fe/H]  vt     P        S       Sapo      K     Kapo   
b1 2M17153858-2759467  3922.7   0.34   -1.65  2.62   +0.50     +0.35   +0.63    +0.15  +0.21  
b2 2M17173693-2806495  3908.9   0.95   -0.97  2.20   +0.60     +0.60   +0.25    +0.25  +0.23  
b3 2M17250290-2800385  3796.6   0.91   -0.82  2.39   +0.90     +0.40   +0.54    +0.00  +0.09  
b4 2M17265563-2813558  4096.2   1.00   -1.32  1.89   +0.50     +0.60   +0.69    +0.00  +0.08  
b5 2M17281191-2831393  4029.1   0.96   -1.19  1.73   +0.00     +0.50   +0.75    +0.00  +0.22  
b6 2M17295481-2051262  4205.9   1.50   -0.85  1.71    ---      +0.40   +0.30    +0.19  +0.10  
b7 2M17303581-2354453  3863.0   0.77   -0.98  2.13   +0.80     +0.40   +0.42    +0.27  +0.24  
b8 2M17324257-2301417  3668.2   0.79   -0.82  2.30   +0.50     +0.70   ---      +0.20  +0.19  
b9 2M17330695-2302130  3566.6   0.35   -0.93  2.42   +1.20     +0.55   ---      +0.15   ---   
b10 2M17344841-4540171 3869.2   0.85   -0.88  2.16   +1.50     +0.15   +0.27    +0.18  +0.23  
b11 2M17351981-1948329 3553.5   0.44   -1.11  3.06     ---     +0.62   ---      +0.00   ---   
b12 2M17354093-1716200 3895.5   1.01   -0.87  2.02   +0.90     +0.42   +0.29    +0.28  +0.24  
b13 2M17390801−2331379 3740.4   0.83   -0.81  2.35   +1.00     +0.55   +0.33    +0.15  +0.06  
b14 2M17392719-2310311 3643.3   0.67   -0.87  2.55   +1.00     +0.38   ---      +0.25  +0.20  
b15 2M17473299-2258254 4018.3   0.47   -1.74  2.12   +0.00     +0.65   +0.86    +0.20  +0.16  
b16 2M17482995-2305299 4213.6   1.24   -1.03  2.10   ---       +0.50   +0.58    -0.07  +0.09  
b17 2M17483633-2242483 3651.5   0.44   -1.09  2.58   +0.40     +0.35   ---      +0.00  +0.19  
b18 2M17503263-3654102 3893.5   0.64   -0.99  2.19   +1.00     +0.30   +0.59    +0.27  +0.30  
